,CarName,doornumber,horsepower,peakrpm,citympg,highwaympg,price,fueltype_diesel,fueltype_gas,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd
0,alfa-romero giulia,2,111,5000,21,27,13495.0,0,1,1,0,0,0,0,0,0,1
1,alfa-romero stelvio,2,111,5000,21,27,16500.0,0,1,1,0,0,0,0,0,0,1
2,alfa-romero Quadrifoglio,2,154,5000,19,26,16500.0,0,1,0,0,1,0,0,0,0,1
3,audi 100 ls,4,102,5500,24,30,13950.0,0,1,0,0,0,1,0,0,1,0
4,audi 100ls,4,115,5500,18,22,17450.0,0,1,0,0,0,1,0,1,0,0
5,audi fox,2,110,5500,19,25,15250.0,0,1,0,0,0,1,0,0,1,0
6,audi 100ls,4,110,5500,19,25,17710.0,0,1,0,0,0,1,0,0,1,0
7,audi 5000,4,110,5500,19,25,18920.0,0,1,0,0,0,0,1,0,1,0
8,audi 4000,4,140,5500,17,20,23875.0,0,1,0,0,0,1,0,0,1,0
9,audi 5000s (diesel),2,160,5500,16,22,17859.167,0,1,0,0,1,0,0,1,0,0
10,bmw 320i,2,101,5800,23,29,16430.0,0,1,0,0,0,1,0,0,0,1
11,bmw 320i,4,101,5800,23,29,16925.0,0,1,0,0,0,1,0,0,0,1
12,bmw x1,2,121,4250,21,28,20970.0,0,1,0,0,0,1,0,0,0,1
13,bmw x3,4,121,4250,21,28,21105.0,0,1,0,0,0,1,0,0,0,1
14,bmw z4,4,121,4250,20,25,24565.0,0,1,0,0,0,1,0,0,0,1
15,bmw x4,4,182,5400,16,22,30760.0,0,1,0,0,0,1,0,0,0,1
16,bmw x5,2,182,5400,16,22,41315.0,0,1,0,0,0,1,0,0,0,1
17,bmw x3,4,182,5400,15,20,36880.0,0,1,0,0,0,1,0,0,0,1
18,chevrolet impala,2,48,5100,47,53,5151.0,0,1,0,0,1,0,0,0,1,0
19,chevrolet monte carlo,2,70,5400,38,43,6295.0,0,1,0,0,1,0,0,0,1,0
20,chevrolet vega 2300,4,70,5400,38,43,6575.0,0,1,0,0,0,1,0,0,1,0
21,dodge rampage,2,68,5500,37,41,5572.0,0,1,0,0,1,0,0,0,1,0
22,dodge challenger se,2,68,5500,31,38,6377.0,0,1,0,0,1,0,0,0,1,0
23,dodge d200,2,102,5500,24,30,7957.0,0,1,0,0,1,0,0,0,1,0
24,dodge monaco (sw),4,68,5500,31,38,6229.0,0,1,0,0,1,0,0,0,1,0
25,dodge colt hardtop,4,68,5500,31,38,6692.0,0,1,0,0,0,1,0,0,1,0
26,dodge colt (sw),4,68,5500,31,38,7609.0,0,1,0,0,0,1,0,0,1,0
27,dodge coronet custom,2,102,5500,24,30,8558.0,0,1,0,0,0,1,0,0,1,0
28,dodge dart custom,4,88,5000,24,30,8921.0,0,1,0,0,0,0,1,0,1,0
29,dodge coronet custom (sw),2,145,5000,19,24,12964.0,0,1,0,0,1,0,0,0,1,0
30,honda civic,2,58,4800,49,54,6479.0,0,1,0,0,1,0,0,0,1,0
31,honda civic cvcc,2,76,6000,31,38,6855.0,0,1,0,0,1,0,0,0,1,0
32,honda civic,2,60,5500,38,42,5399.0,0,1,0,0,1,0,0,0,1,0
33,honda accord cvcc,2,76,6000,30,34,6529.0,0,1,0,0,1,0,0,0,1,0
34,honda civic cvcc,2,76,6000,30,34,7129.0,0,1,0,0,1,0,0,0,1,0
35,honda accord lx,4,76,6000,30,34,7295.0,0,1,0,0,0,1,0,0,1,0
36,honda civic 1500 gl,4,76,6000,30,34,7295.0,0,1,0,0,0,0,1,0,1,0
37,honda accord,2,86,5800,27,33,7895.0,0,1,0,0,1,0,0,0,1,0
38,honda civic 1300,2,86,5800,27,33,9095.0,0,1,0,0,1,0,0,0,1,0
39,honda prelude,4,86,5800,27,33,8845.0,0,1,0,0,0,1,0,0,1,0
40,honda accord,4,86,5800,27,33,10295.0,0,1,0,0,0,1,0,0,1,0
41,honda civic,4,101,5800,24,28,12945.0,0,1,0,0,0,1,0,0,1,0
42,honda civic (auto),2,100,5500,25,31,10345.0,0,1,0,0,0,1,0,0,1,0
43,isuzu MU-X,4,78,4800,24,29,6785.0,0,1,0,0,0,1,0,0,0,1
44,isuzu D-Max ,2,70,5400,38,43,8916.5,0,1,0,0,0,1,0,0,1,0
45,isuzu D-Max V-Cross,4,70,5400,38,43,8916.5,0,1,0,0,0,1,0,0,1,0
46,isuzu D-Max ,2,90,5000,24,29,11048.0,0,1,0,0,1,0,0,0,0,1
47,jaguar xj,4,176,4750,15,19,32250.0,0,1,0,0,0,1,0,0,0,1
48,jaguar xf,4,176,4750,15,19,35550.0,0,1,0,0,0,1,0,0,0,1
49,jaguar xk,2,262,5000,13,17,36000.0,0,1,0,0,0,1,0,0,0,1
50,maxda rx3,2,68,5000,30,31,5195.0,0,1,0,0,1,0,0,0,1,0
51,maxda glc deluxe,2,68,5000,31,38,6095.0,0,1,0,0,1,0,0,0,1,0
52,mazda rx2 coupe,2,68,5000,31,38,6795.0,0,1,0,0,1,0,0,0,1,0
53,mazda rx-4,4,68,5000,31,38,6695.0,0,1,0,0,0,1,0,0,1,0
54,mazda glc deluxe,4,68,5000,31,38,7395.0,0,1,0,0,0,1,0,0,1,0
55,mazda 626,2,101,6000,17,23,10945.0,0,1,0,0,1,0,0,0,0,1
56,mazda glc,2,101,6000,17,23,11845.0,0,1,0,0,1,0,0,0,0,1
57,mazda rx-7 gs,2,101,6000,17,23,13645.0,0,1,0,0,1,0,0,0,0,1
58,mazda glc 4,2,135,6000,16,23,15645.0,0,1,0,0,1,0,0,0,0,1
59,mazda 626,2,84,4800,26,32,8845.0,0,1,0,0,1,0,0,0,1,0
60,mazda glc custom l,4,84,4800,26,32,8495.0,0,1,0,0,0,1,0,0,1,0
61,mazda glc custom,2,84,4800,26,32,10595.0,0,1,0,0,1,0,0,0,1,0
62,mazda rx-4,4,84,4800,26,32,10245.0,0,1,0,0,0,1,0,0,1,0
63,mazda glc deluxe,4,64,4650,36,42,10795.0,1,0,0,0,0,1,0,0,1,0
64,mazda 626,4,84,4800,26,32,11245.0,0,1,0,0,1,0,0,0,1,0
65,mazda glc,4,120,5000,19,27,18280.0,0,1,0,0,0,1,0,0,0,1
66,mazda rx-7 gs,4,72,4200,31,39,18344.0,1,0,0,0,0,1,0,0,0,1
67,buick electra 225 custom,4,123,4350,22,25,25552.0,1,0,0,0,0,1,0,0,0,1
68,buick century luxus (sw),4,123,4350,22,25,28248.0,1,0,0,0,0,0,1,0,0,1
69,buick century,2,123,4350,22,25,28176.0,1,0,0,1,0,0,0,0,0,1
70,buick skyhawk,4,123,4350,22,25,31600.0,1,0,0,0,0,1,0,0,0,1
71,buick opel isuzu deluxe,4,155,4750,16,18,34184.0,0,1,0,0,0,1,0,0,0,1
72,buick skylark,2,155,4750,16,18,35056.0,0,1,1,0,0,0,0,0,0,1
73,buick century special,4,184,4500,14,16,40960.0,0,1,0,0,0,1,0,0,0,1
74,buick regal sport coupe (turbo),2,184,4500,14,16,45400.0,0,1,0,1,0,0,0,0,0,1
75,mercury cougar,2,175,5000,19,24,16503.0,0,1,0,0,1,0,0,0,0,1
76,mitsubishi mirage,2,68,5500,37,41,5389.0,0,1,0,0,1,0,0,0,1,0
77,mitsubishi lancer,2,68,5500,31,38,6189.0,0,1,0,0,1,0,0,0,1,0
78,mitsubishi outlander,2,68,5500,31,38,6669.0,0,1,0,0,1,0,0,0,1,0
79,mitsubishi g4,2,102,5500,24,30,7689.0,0,1,0,0,1,0,0,0,1,0
80,mitsubishi mirage g4,2,116,5500,23,30,9959.0,0,1,0,0,1,0,0,0,1,0
81,mitsubishi g4,2,88,5000,25,32,8499.0,0,1,0,0,1,0,0,0,1,0
82,mitsubishi outlander,2,145,5000,19,24,12629.0,0,1,0,0,1,0,0,0,1,0
83,mitsubishi g4,2,145,5000,19,24,14869.0,0,1,0,0,1,0,0,0,1,0
84,mitsubishi mirage g4,2,145,5000,19,24,14489.0,0,1,0,0,1,0,0,0,1,0
85,mitsubishi montero,4,88,5000,25,32,6989.0,0,1,0,0,0,1,0,0,1,0
86,mitsubishi pajero,4,88,5000,25,32,8189.0,0,1,0,0,0,1,0,0,1,0
87,mitsubishi outlander,4,116,5500,23,30,9279.0,0,1,0,0,0,1,0,0,1,0
88,mitsubishi mirage g4,4,116,5500,23,30,9279.0,0,1,0,0,0,1,0,0,1,0
89,Nissan versa,2,69,5200,31,37,5499.0,0,1,0,0,0,1,0,0,1,0
90,nissan gt-r,2,55,4800,45,50,7099.0,1,0,0,0,0,1,0,0,1,0
91,nissan rogue,2,69,5200,31,37,6649.0,0,1,0,0,0,1,0,0,1,0
92,nissan latio,4,69,5200,31,37,6849.0,0,1,0,0,0,1,0,0,1,0
93,nissan titan,4,69,5200,31,37,7349.0,0,1,0,0,0,0,1,0,1,0
94,nissan leaf,2,69,5200,31,37,7299.0,0,1,0,0,0,1,0,0,1,0
95,nissan juke,2,69,5200,31,37,7799.0,0,1,0,0,1,0,0,0,1,0
96,nissan latio,4,69,5200,31,37,7499.0,0,1,0,0,0,1,0,0,1,0
97,nissan note,4,69,5200,31,37,7999.0,0,1,0,0,0,0,1,0,1,0
98,nissan clipper,2,69,5200,31,37,8249.0,0,1,0,1,0,0,0,0,1,0
99,nissan rogue,4,97,5200,27,34,8949.0,0,1,0,0,1,0,0,0,1,0
100,nissan nv200,4,97,5200,27,34,9549.0,0,1,0,0,0,1,0,0,1,0
101,nissan dayz,4,152,5200,17,22,13499.0,0,1,0,0,0,1,0,0,1,0
102,nissan fuga,4,152,5200,17,22,14399.0,0,1,0,0,0,0,1,0,1,0
103,nissan otti,4,152,5200,19,25,13499.0,0,1,0,0,0,1,0,0,1,0
104,nissan teana,2,160,5200,19,25,17199.0,0,1,0,0,1,0,0,0,0,1
105,nissan kicks,2,200,5200,17,23,19699.0,0,1,0,0,1,0,0,0,0,1
106,nissan clipper,2,160,5200,19,25,18399.0,0,1,0,0,1,0,0,0,0,1
107,peugeot 504,4,97,5000,19,24,11900.0,0,1,0,0,0,1,0,0,0,1
108,peugeot 304,4,95,4150,28,33,13200.0,1,0,0,0,0,1,0,0,0,1
109,peugeot 504 (sw),4,97,5000,19,24,12440.0,0,1,0,0,0,0,1,0,0,1
110,peugeot 504,4,95,4150,25,25,13860.0,1,0,0,0,0,0,1,0,0,1
111,peugeot 504,4,95,5000,19,24,15580.0,0,1,0,0,0,1,0,0,0,1
112,peugeot 604sl,4,95,4150,28,33,16900.0,1,0,0,0,0,1,0,0,0,1
113,peugeot 504,4,95,5000,19,24,16695.0,0,1,0,0,0,0,1,0,0,1
114,peugeot 505s turbo diesel,4,95,4150,25,25,17075.0,1,0,0,0,0,0,1,0,0,1
115,peugeot 504,4,97,5000,19,24,16630.0,0,1,0,0,0,1,0,0,0,1
116,peugeot 504,4,95,4150,28,33,17950.0,1,0,0,0,0,1,0,0,0,1
117,peugeot 604sl,4,142,5600,18,24,18150.0,0,1,0,0,0,1,0,0,0,1
118,plymouth fury iii,2,68,5500,37,41,5572.0,0,1,0,0,1,0,0,0,1,0
119,plymouth cricket,2,102,5500,24,30,7957.0,0,1,0,0,1,0,0,0,1,0
120,plymouth fury iii,4,68,5500,31,38,6229.0,0,1,0,0,1,0,0,0,1,0
121,plymouth satellite custom (sw),4,68,5500,31,38,6692.0,0,1,0,0,0,1,0,0,1,0
122,plymouth fury gran sedan,4,68,5500,31,38,7609.0,0,1,0,0,0,1,0,0,1,0
123,plymouth valiant,4,88,5000,24,30,8921.0,0,1,0,0,0,0,1,0,1,0
124,plymouth duster,2,145,5000,19,24,12764.0,0,1,0,0,1,0,0,0,0,1
125,porsche macan,2,143,5500,19,27,22018.0,0,1,0,0,1,0,0,0,0,1
126,porcshce panamera,2,207,5900,17,25,32528.0,0,1,0,1,0,0,0,0,0,1
127,porsche cayenne,2,207,5900,17,25,34028.0,0,1,0,1,0,0,0,0,0,1
128,porsche boxter,2,207,5900,17,25,37028.0,0,1,1,0,0,0,0,0,0,1
129,porsche cayenne,2,288,5750,17,28,31400.5,0,1,0,0,1,0,0,0,0,1
130,renault 12tl,4,90,5100,23,31,9295.0,0,1,0,0,0,0,1,0,1,0
131,renault 5 gtl,2,90,5100,23,31,9895.0,0,1,0,0,1,0,0,0,1,0
132,saab 99e,2,110,5250,21,28,11850.0,0,1,0,0,1,0,0,0,1,0
133,saab 99le,4,110,5250,21,28,12170.0,0,1,0,0,0,1,0,0,1,0
134,saab 99le,2,110,5250,21,28,15040.0,0,1,0,0,1,0,0,0,1,0
135,saab 99gle,4,110,5250,21,28,15510.0,0,1,0,0,0,1,0,0,1,0
136,saab 99gle,2,160,5500,19,26,18150.0,0,1,0,0,1,0,0,0,1,0
137,saab 99e,4,160,5500,19,26,18620.0,0,1,0,0,0,1,0,0,1,0
138,subaru,2,69,4900,31,36,5118.0,0,1,0,0,1,0,0,0,1,0
139,subaru dl,2,73,4400,26,31,7053.0,0,1,0,0,1,0,0,0,1,0
140,subaru dl,2,73,4400,26,31,7603.0,0,1,0,0,1,0,0,1,0,0
141,subaru,4,82,4800,32,37,7126.0,0,1,0,0,0,1,0,0,1,0
142,subaru brz,4,82,4400,28,33,7775.0,0,1,0,0,0,1,0,0,1,0
143,subaru baja,4,94,5200,26,32,9960.0,0,1,0,0,0,1,0,0,1,0
144,subaru r1,4,82,4800,24,25,9233.0,0,1,0,0,0,1,0,1,0,0
145,subaru r2,4,111,4800,24,29,11259.0,0,1,0,0,0,1,0,1,0,0
146,subaru trezia,4,82,4800,28,32,7463.0,0,1,0,0,0,0,1,0,1,0
147,subaru tribeca,4,94,5200,25,31,10198.0,0,1,0,0,0,0,1,0,1,0
148,subaru dl,4,82,4800,23,29,8013.0,0,1,0,0,0,0,1,1,0,0
149,subaru dl,4,111,4800,23,23,11694.0,0,1,0,0,0,0,1,1,0,0
150,toyota corona mark ii,2,62,4800,35,39,5348.0,0,1,0,0,1,0,0,0,1,0
151,toyota corona,2,62,4800,31,38,6338.0,0,1,0,0,1,0,0,0,1,0
152,toyota corolla 1200,4,62,4800,31,38,6488.0,0,1,0,0,1,0,0,0,1,0
153,toyota corona hardtop,4,62,4800,31,37,6918.0,0,1,0,0,0,0,1,0,1,0
154,toyota corolla 1600 (sw),4,62,4800,27,32,7898.0,0,1,0,0,0,0,1,1,0,0
155,toyota carina,4,62,4800,27,32,8778.0,0,1,0,0,0,0,1,1,0,0
156,toyota mark ii,4,70,4800,30,37,6938.0,0,1,0,0,0,1,0,0,1,0
157,toyota corolla 1200,4,70,4800,30,37,7198.0,0,1,0,0,1,0,0,0,1,0
158,toyota corona,4,56,4500,34,36,7898.0,1,0,0,0,0,1,0,0,1,0
159,toyota corolla,4,56,4500,38,47,7788.0,1,0,0,0,1,0,0,0,1,0
160,toyota corona,4,70,4800,38,47,7738.0,0,1,0,0,0,1,0,0,1,0
161,toyota corolla,4,70,4800,28,34,8358.0,0,1,0,0,1,0,0,0,1,0
162,toyota mark ii,4,70,4800,28,34,9258.0,0,1,0,0,0,1,0,0,1,0
163,toyota corolla liftback,2,70,4800,29,34,8058.0,0,1,0,0,0,1,0,0,0,1
164,toyota corona,2,70,4800,29,34,8238.0,0,1,0,0,1,0,0,0,0,1
165,toyota celica gt liftback,2,112,6600,26,29,9298.0,0,1,0,0,0,1,0,0,0,1
166,toyota corolla tercel,2,112,6600,26,29,9538.0,0,1,0,0,1,0,0,0,0,1
167,toyota corona liftback,2,116,4800,24,30,8449.0,0,1,0,1,0,0,0,0,0,1
168,toyota corolla,2,116,4800,24,30,9639.0,0,1,0,1,0,0,0,0,0,1
169,toyota starlet,2,116,4800,24,30,9989.0,0,1,0,0,1,0,0,0,0,1
170,toyota tercel,2,116,4800,24,30,11199.0,0,1,0,1,0,0,0,0,0,1
171,toyota corolla,2,116,4800,24,30,11549.0,0,1,0,0,1,0,0,0,0,1
172,toyota cressida,2,116,4800,24,30,17669.0,0,1,1,0,0,0,0,0,0,1
173,toyota corolla,4,92,4200,29,34,8948.0,0,1,0,0,0,1,0,0,1,0
174,toyota celica gt,4,73,4500,30,33,10698.0,1,0,0,0,0,1,0,0,1,0
175,toyota corona,4,92,4200,27,32,9988.0,0,1,0,0,1,0,0,0,1,0
176,toyota corolla,4,92,4200,27,32,10898.0,0,1,0,0,0,1,0,0,1,0
177,toyota mark ii,4,92,4200,27,32,11248.0,0,1,0,0,1,0,0,0,1,0
178,toyota corolla liftback,2,161,5200,20,24,16558.0,0,1,0,0,1,0,0,0,0,1
179,toyota corona,2,161,5200,19,24,15998.0,0,1,0,0,1,0,0,0,0,1
180,toyota starlet,4,156,5200,20,24,15690.0,0,1,0,0,0,1,0,0,0,1
181,toyouta tercel,4,156,5200,19,24,15750.0,0,1,0,0,0,0,1,0,0,1
182,vokswagen rabbit,2,52,4800,37,46,7775.0,1,0,0,0,0,1,0,0,1,0
183,volkswagen 1131 deluxe sedan,2,85,5250,27,34,7975.0,0,1,0,0,0,1,0,0,1,0
184,volkswagen model 111,4,52,4800,37,46,7995.0,1,0,0,0,0,1,0,0,1,0
185,volkswagen type 3,4,85,5250,27,34,8195.0,0,1,0,0,0,1,0,0,1,0
186,volkswagen 411 (sw),4,85,5250,27,34,8495.0,0,1,0,0,0,1,0,0,1,0
187,volkswagen super beetle,4,68,4500,37,42,9495.0,1,0,0,0,0,1,0,0,1,0
188,volkswagen dasher,4,100,5500,26,32,9995.0,0,1,0,0,0,1,0,0,1,0
189,vw dasher,2,90,5500,24,29,11595.0,0,1,1,0,0,0,0,0,1,0
190,vw rabbit,2,90,5500,24,29,9980.0,0,1,0,0,1,0,0,0,1,0
191,volkswagen rabbit,4,110,5500,19,24,13295.0,0,1,0,0,0,1,0,0,1,0
192,volkswagen rabbit custom,4,68,4500,33,38,13845.0,1,0,0,0,0,1,0,0,1,0
193,volkswagen dasher,4,88,5500,25,31,12290.0,0,1,0,0,0,0,1,0,1,0
194,volvo 145e (sw),4,114,5400,23,28,12940.0,0,1,0,0,0,1,0,0,0,1
195,volvo 144ea,4,114,5400,23,28,13415.0,0,1,0,0,0,0,1,0,0,1
196,volvo 244dl,4,114,5400,24,28,15985.0,0,1,0,0,0,1,0,0,0,1
197,volvo 245,4,114,5400,24,28,16515.0,0,1,0,0,0,0,1,0,0,1
198,volvo 264gl,4,162,5100,17,22,18420.0,0,1,0,0,0,1,0,0,0,1
199,volvo diesel,4,162,5100,17,22,18950.0,0,1,0,0,0,0,1,0,0,1
200,volvo 145e (sw),4,114,5400,23,28,16845.0,0,1,0,0,0,1,0,0,0,1
201,volvo 144ea,4,160,5300,19,25,19045.0,0,1,0,0,0,1,0,0,0,1
202,volvo 244dl,4,134,5500,18,23,21485.0,0,1,0,0,0,1,0,0,0,1
203,volvo 246,4,106,4800,26,27,22470.0,1,0,0,0,0,1,0,0,0,1
204,volvo 264gl,4,114,5400,19,25,22625.0,0,1,0,0,0,1,0,0,0,1
